epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1498.43,0.73485,0.62819,1.12544,0.74033,0.68942,0.70732,0.58006,0.95267,0.84698,1.21095,0.0084358,0.0084358,0.0084358
81,1516.89,0.74038,0.63591,1.13483,0.7333,0.69383,0.71322,0.58076,0.96151,0.83021,1.20322,0.008416,0.008416,0.008416
82,1535.41,0.73139,0.62479,1.12432,0.69889,0.69884,0.69624,0.56742,0.98598,0.85418,1.22487,0.0083962,0.0083962,0.0083962
83,1554.02,0.74253,0.64216,1.12938,0.73674,0.68003,0.70321,0.57761,0.96522,0.81242,1.21225,0.0083764,0.0083764,0.0083764
84,1572.58,0.74391,0.63235,1.13312,0.72654,0.68299,0.69531,0.56583,0.98656,0.85481,1.22562,0.0083566,0.0083566,0.0083566
85,1591.07,0.73756,0.63026,1.1278,0.75406,0.67503,0.71059,0.58171,0.96426,0.8378,1.20137,0.0083368,0.0083368,0.0083368
86,1609.59,0.72442,0.6141,1.12047,0.71931,0.69413,0.70671,0.57175,0.98052,0.85872,1.23765,0.008317,0.008317,0.008317
87,1628.22,0.72168,0.60779,1.1205,0.71517,0.68635,0.71962,0.58182,0.97155,0.86947,1.18666,0.0082972,0.0082972,0.0082972
88,1646.8,0.7281,0.61116,1.12175,0.73573,0.72139,0.72254,0.58876,0.95899,0.83134,1.20572,0.0082774,0.0082774,0.0082774
89,1665.26,0.7282,0.61038,1.12237,0.74585,0.69348,0.71151,0.58105,0.95887,0.82761,1.20886,0.0082576,0.0082576,0.0082576
90,1683.82,0.72353,0.6089,1.12085,0.71133,0.69177,0.6981,0.56316,0.98164,0.84611,1.22205,0.0082378,0.0082378,0.0082378
91,1702.42,0.72174,0.61327,1.11958,0.7248,0.72362,0.72533,0.58481,0.96358,0.76481,1.21092,0.008218,0.008218,0.008218
92,1720.96,0.728,0.61471,1.12077,0.74928,0.70141,0.71865,0.58925,0.98989,0.79623,1.22053,0.0081982,0.0081982,0.0081982
93,1739.4,0.72924,0.60496,1.12798,0.71143,0.70088,0.71394,0.58238,0.99792,0.81264,1.24661,0.0081784,0.0081784,0.0081784
94,1757.9,0.72385,0.60494,1.11958,0.73519,0.6903,0.70999,0.58373,0.99065,0.84555,1.24515,0.0081586,0.0081586,0.0081586
95,1776.46,0.72576,0.6094,1.11847,0.73939,0.71936,0.70794,0.57962,0.96136,0.8174,1.21633,0.0081388,0.0081388,0.0081388
96,1794.96,0.72075,0.61103,1.11975,0.73475,0.72075,0.7219,0.59394,0.9697,0.79789,1.22474,0.008119,0.008119,0.008119
97,1813.48,0.71473,0.5945,1.11237,0.69885,0.7392,0.71752,0.57767,1.01184,0.80004,1.22437,0.0080992,0.0080992,0.0080992
98,1832.02,0.72172,0.60073,1.1204,0.78795,0.66986,0.71545,0.58331,0.96505,0.80382,1.21104,0.0080794,0.0080794,0.0080794
99,1850.68,0.71168,0.59542,1.11295,0.71553,0.70027,0.71413,0.58833,0.93555,0.79524,1.1835,0.0080596,0.0080596,0.0080596
100,1869.16,0.72445,0.60568,1.1189,0.72511,0.69215,0.69682,0.57534,0.95665,0.84519,1.20364,0.0080398,0.0080398,0.0080398
101,1887.74,0.71824,0.59944,1.12061,0.73284,0.69452,0.71699,0.58716,0.9525,0.81912,1.19713,0.00802,0.00802,0.00802
102,1906.32,0.72151,0.6026,1.1162,0.74721,0.68467,0.71491,0.59197,0.97492,0.81028,1.20765,0.0080002,0.0080002,0.0080002
103,1924.92,0.71699,0.58949,1.11311,0.69246,0.72909,0.72944,0.59836,0.94748,0.77824,1.20585,0.0079804,0.0079804,0.0079804
104,1943.42,0.70939,0.58927,1.11289,0.72014,0.71016,0.72041,0.59259,0.93358,0.80185,1.20578,0.0079606,0.0079606,0.0079606
105,1961.97,0.71363,0.58545,1.11562,0.73417,0.71845,0.72618,0.59885,0.97344,0.78218,1.22023,0.0079408,0.0079408,0.0079408
106,1980.49,0.71088,0.58884,1.11161,0.7131,0.70512,0.71663,0.59039,0.96635,0.82921,1.20267,0.007921,0.007921,0.007921
107,1998.98,0.70729,0.58772,1.1088,0.72017,0.69662,0.70714,0.58258,0.95288,0.80242,1.22058,0.0079012,0.0079012,0.0079012
108,2017.5,0.70604,0.58314,1.10897,0.7103,0.71216,0.70745,0.58048,0.96151,0.82073,1.21624,0.0078814,0.0078814,0.0078814
109,2035.94,0.71183,0.5866,1.1132,0.70534,0.69718,0.70885,0.58284,0.9554,0.8241,1.20332,0.0078616,0.0078616,0.0078616
110,2054.44,0.70549,0.58148,1.10679,0.69438,0.72914,0.70287,0.57735,0.96739,0.8423,1.22142,0.0078418,0.0078418,0.0078418
